country,year,n_images_all,n_images_people,n_male,n_female,n_people,female_ratio_totals,female_ratio_meanimg
GBR,2008,21,17,66,12,78,0.15384615384615385,0.19156611362493714
GBR,2009,24,20,68,24,92,0.2608695652173913,0.3274621212121212
GBR,2010,353,312,1256,183,1439,0.1271716469770674,0.12173405743117281
GBR,2011,491,437,1938,269,2207,0.12188491164476666,0.12089908248375068
GBR,2012,440,392,1867,287,2154,0.13324048282265552,0.136104249996965
GBR,2013,1542,1256,4967,916,5883,0.15570287268400476,0.15097067716637408
GBR,2014,709,585,2091,543,2634,0.2061503416856492,0.21987003721583384
GBR,2015,461,378,1492,303,1795,0.16880222841225626,0.23717917788367607
GBR,2016,360,312,1104,376,1480,0.25405405405405407,0.2981133094113863
GBR,2017,398,360,1493,376,1869,0.20117710005350456,0.2650349764101895
GBR,2018,776,626,2553,844,3397,0.2484545186929644,0.27020063867741584
GBR,2019,1180,904,3779,1203,4982,0.24146928944199117,0.25484536900529736
GBR,2020,943,649,2041,606,2647,0.22893842085379676,0.2373295666744268
GBR,2021,890,592,2070,602,2672,0.2252994011976048,0.26674001480986775
GBR,2022,1154,838,2719,922,3641,0.25322713540236197,0.2994512908688263
GBR,2023,1017,869,2877,787,3664,0.21479257641921398,0.20708368125442128
GBR,2024,799,696,2153,716,2869,0.24956430812129662,0.2636755577361561
GEO,2013,8,5,36,4,40,0.1,0.06153846153846154
GEO,2014,827,645,4704,526,5230,0.10057361376673041,0.09346167995491202
GEO,2015,803,725,4420,461,4881,0.09444785904527761,0.08619099754852931
GEO,2016,898,837,5655,648,6303,0.10280818657782008,0.09099879721488298
GEO,2017,816,775,4573,431,5004,0.08613109512390088,0.07215241631101015
GEO,2018,802,768,4138,484,4622,0.10471657291215924,0.08940855971773397
GEO,2019,956,932,5342,773,6115,0.12641046606704825,0.10169378695181004
GEO,2020,785,769,4423,742,5165,0.1436592449177154,0.11683220980615684
GEO,2021,1316,1206,6399,745,7144,0.10428331466965285,0.08546845375705935
GEO,2022,1145,951,4824,448,5272,0.08497723823975721,0.07013298969356802
GEO,2023,1075,887,4075,483,4558,0.10596752961825362,0.08886447731342688
GEO,2024,782,676,3863,500,4363,0.11460004584001833,0.09254986948834613
GHA,2015,2,2,17,6,23,0.2608695652173913,0.22767857142857142
GHA,2017,18,18,58,13,71,0.18309859154929578,0.20277777777777778
GHA,2018,335,329,1842,651,2493,0.2611311672683514,0.30569689254423993
GHA,2019,55,53,200,83,283,0.29328621908127206,0.3701367968571076
GHA,2020,11,11,50,17,67,0.2537313432835821,0.26204351204351206
GHA,2021,1,1,11,7,18,0.3888888888888889,0.3888888888888889
GHA,2022,50,49,202,95,297,0.31986531986531985,0.3894855844435677
GHA,2023,41,41,219,107,326,0.3282208588957055,0.34213429632001874
GHA,2024,17,17,108,45,153,0.29411764705882354,0.3041460087899716
GMB,2021,31,29,166,65,231,0.2813852813852814,0.2351114881287295
GMB,2022,271,259,1040,317,1357,0.23360353721444363,0.2354249256560181
GMB,2023,25,19,128,23,151,0.152317880794702,0.1654323884342623
GMB,2024,63,41,302,61,363,0.16804407713498623,0.14342980511144823
GNQ,2015,1,0,0,0,0,,
GNQ,2019,1923,1705,8736,1589,10325,0.15389830508474575,0.1614280475742798
GNQ,2020,2166,1730,7350,1261,8611,0.1464405992335385,0.15863065398584109
GNQ,2021,3677,3320,17265,2789,20054,0.13907449885309664,0.15302286590876862
GNQ,2022,2095,1968,12090,2461,14551,0.16912926946601609,0.16571367472622522
GNQ,2023,4006,3824,23048,4849,27897,0.17381797325877335,0.17297643970889398
GNQ,2024,4823,4645,29169,6466,35635,0.18145082082222533,0.17949400234642393
GRC,2010,23,18,46,5,51,0.09803921568627451,0.05555555555555555
GRC,2011,94,93,344,36,380,0.09473684210526316,0.07389432550722873
GRC,2012,58,58,193,17,210,0.08095238095238096,0.09328817733990148
GRC,2013,132,129,424,31,455,0.06813186813186813,0.04839424141749723
GRC,2014,188,188,629,57,686,0.08309037900874636,0.05024036247440503
GRC,2015,123,121,403,23,426,0.0539906103286385,0.047310357227712596
GRC,2016,133,124,517,30,547,0.054844606946983544,0.047365379718320895
GRC,2017,172,171,597,59,656,0.0899390243902439,0.057948581632792165
GRC,2018,162,162,399,29,428,0.06775700934579439,0.03646874387615129
GRC,2019,205,205,607,73,680,0.10735294117647058,0.08310146891208584
GRC,2020,233,231,539,55,594,0.09259259259259259,0.0805780438897322
GRC,2021,213,212,499,45,544,0.08272058823529412,0.058686286121080795
GRC,2022,302,299,849,102,951,0.10725552050473186,0.07329122939490833
GRC,2023,216,215,588,69,657,0.1050228310502283,0.07672287660659755
GRC,2024,252,252,652,97,749,0.1295060080106809,0.08255920213203126
GTM,2018,25,25,157,76,233,0.3261802575107296,0.33114108767049943
